dist;name;north_Y_;east_X_;height;layer;Type;Width;Dam_width;Slope_cleaned;Dam_Slope;SlopeMovWin_cleaned;Dam_SlopeMovWin;Sinuosity_MovWin;Dam_SinuosityMovWin;Sinuosity140;Dam_Sinuosity140;SinuosityCustom;Dam_SinuosityCustom
4600;;;;;;No Dam;38;NA;0.623;NA;1.195;NA;1.005;NA;1.048;NA;1.011;NA
4610;;;;;;No Dam;38;NA;0.623;NA;0.551;NA;1.007;NA;1.048;NA;1.011;NA
4620;;;;;;No Dam;37;NA;0.302;NA;0.049;NA;1.008;NA;1.005;NA;1.011;NA
4630;;;;;;No Dam;37;NA;0.302;NA;0.338;NA;1.009;NA;1.005;NA;1.011;NA
4640;;;;;;No Dam;43;NA;0.196;NA;0.163;NA;1.009;NA;1.005;NA;1.011;NA
4650;;;;;;No Dam;49;NA;0.196;NA;0.198;NA;1.008;NA;1.005;NA;1.011;NA
4660;;;;;;No Dam;42;NA;0.252;NA;0.395;NA;1.007;NA;1.005;NA;1.011;NA
4670;;;;;;No Dam;46;NA;0.252;NA;0.444;NA;1.006;NA;1.005;NA;1.011;NA
4680;;;;;;No Dam;49;NA;1.145;NA;0.73;NA;1.005;NA;1.005;NA;1.011;NA
4690;;;;;;No Dam;54;NA;1.145;NA;1.339;NA;1.005;NA;1.005;NA;1.011;NA
4700;;;;;;No Dam;45;NA;2.147;NA;1.874;NA;1.005;NA;1.005;NA;1.011;NA
4710;;;;;;No Dam;36;NA;2.147;NA;2.377;NA;1.006;NA;1.005;NA;1.011;NA
4720;;;;;;No Dam;29;NA;2.922;NA;2.716;NA;1.008;NA;1.005;NA;1.011;NA
4730;;;;;;No Dam;28;NA;2.922;NA;2.584;NA;1.011;NA;1.005;NA;1.011;NA
4740;;;;;;No Dam;26;NA;1.668;NA;2.152;NA;1.014;NA;1.005;NA;1.011;NA
4750;;;;;;No Dam;25;NA;1.668;NA;2.297;NA;1.015;NA;1.005;NA;1.011;NA
4752.550523;;;;;;Ice Dam;24;24;2.513;NA;2.576;NA;1.014;NA;1.02;NA;1.011;NA
4760;;;;;;No Dam;20;NA;2.513;NA;1.764;NA;1.011;NA;1.02;NA;1.011;NA
4770;GPS0020;6986993.763;562934.923;103.583;soknaicedamsurvy;No Dam;20;NA;2.513;2.513;1.63;1.63;1.01;1.01;1.02;1.02;1.011;1.11.
4775.389367;;;;;;Ice Dam;23;23;0.933;NA;1.381;NA;1.008;NA;1.02;NA;1.011;NA
